中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,17 ms,76 Mbps,9840 kB/s
132.145.244.24,443,2a0b:21c0:100a:1b4:0:b15d:6256:7c2f,DE,Frankfurt,隧道,87 ms,133 Mbps,17100 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,91 ms,51 Mbps,6603 kB/s
141.147.49.148,443,2606:f240:f00:46c4:0:9c40:bf44:3533,US,Frankfurt,隧道,87 ms,125 Mbps,16076 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,5 ms,386 Mbps,49459 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,32 ms,116 Mbps,14848 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,10 ms,71 Mbps,9133 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,85 ms,44 Mbps,5660 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,68 ms,41 Mbps,5307 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,85 ms,176 Mbps,22630 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,41 ms,61 Mbps,7934 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,85 ms,191 Mbps,24473 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,70 ms,49 Mbps,6361 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,80 ms,266 Mbps,34099 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,76 ms,320 Mbps,41062 kB/s
132.145.234.158,443,2a0b:21c0:100a:1b0:0:4cd5:572f:53c8,DE,Frankfurt,隧道,89 ms,129 Mbps,16588 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,88 ms,71 Mbps,9191 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,73 ms,303 Mbps,38809 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,65 ms,144 Mbps,18432 kB/s
141.147.115.120,443,2a0b:21c0:100a:1b1:0:652e:9151:f187,DE,Frankfurt,隧道,95 ms,112 Mbps,14336 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,121 ms,7 Mbps,965 kB/s
152.67.141.70,443,2a0b:21c0:1007:cb:0:e0c9:c050:b112,DE,Frankfurt,隧道,94 ms,172 Mbps,22118 kB/s
129.159.130.38,443,129.159.130.38,IL,Tel Aviv,中转,135 ms,46 Mbps,5956 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,69 ms,47 Mbps,6046 kB/s
193.123.63.65,443,2a0b:21c0:100a:1b6:0:a60a:fe67:f897,DE,Frankfurt,隧道,88 ms,135 Mbps,17305 kB/s
132.226.134.157,443,2a0b:21c0:1007:1c7:0:47e2:4432:3db5,DE,Frankfurt,隧道,94 ms,144 Mbps,18432 kB/s
